Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
┏━━━━━━━━━━━━━━┳━━━━━━━╸T╺╸R╺╸A╺╸I╺╸N╺━━━━━━━┳━━━━━━━╸S╺╸T╺╸A╺╸T╺╸S╺━━━━━━━┳━━━━━━━╸V╺╸A╺╸L╺╸I╺╸D╺━━━━━━━┓
┃              ┃              ╷              ┃              ╷              ┃              ╷              ┃
┃       epoch  ┃        loss  │    accuracy  ┃        l.r.  │     elapsed  ┃        loss  │    accuracy  ┃
┠──────────────╂──────────────┼──────────────╂──────────────┼──────────────╂──────────────┼──────────────┨
┃           1  ┃      1.6710  │     17.73 %  ┃   1.000e-01  │   00:07 min  ┠┈█▒┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3608 | current_val_loss: 2.3023 | running_val_loss: 1.8501 | best_val_loss: 1.4893
┃           1  ┃      1.6936  │     20.23 %  ┃   1.000e-01  │   00:10 min  ┠┈██┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4901 | current_val_loss: 3.1430 | running_val_loss: 1.9794 | best_val_loss: 1.4893
┃           1  ┃      1.6253  │     18.28 %  ┃   1.000e-01  │   00:13 min  ┠┈██▓┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4575 | current_val_loss: 1.6536 | running_val_loss: 1.9468 | best_val_loss: 1.4893
┃           1  ┃      1.6792  │     18.12 %  ┃   1.000e-01  │   00:16 min  ┠┈███▒┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4477 | current_val_loss: 1.8492 | running_val_loss: 1.9371 | best_val_loss: 1.4893
┃           1  ┃      1.6854  │     18.98 %  ┃   1.000e-01  │   00:19 min  ┠┈████░┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4462 | current_val_loss: 1.9221 | running_val_loss: 1.9356 | best_val_loss: 1.4893
┃           1  ┃      1.6857  │     19.77 %  ┃   1.000e-01  │   00:22 min  ┠┈█████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4332 | current_val_loss: 1.8053 | running_val_loss: 1.9225 | best_val_loss: 1.4893
┃           1  ┃      1.6523  │     20.23 %  ┃   1.000e-01  │   00:25 min  ┠┈█████▓┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4578 | current_val_loss: 2.1685 | running_val_loss: 1.9471 | best_val_loss: 1.4893
┃           1  ┃      1.7427  │     17.42 %  ┃   1.000e-01  │   00:28 min  ┠┈██████▒┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4353 | current_val_loss: 1.7219 | running_val_loss: 1.9246 | best_val_loss: 1.4893
┃           1  ┃      1.6834  │     19.45 %  ┃   1.000e-01  │   00:31 min  ┠┈███████░┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4105 | current_val_loss: 1.6765 | running_val_loss: 1.8998 | best_val_loss: 1.4893
┃           1  ┃      1.6432  │     18.36 %  ┃   1.000e-01  │   00:34 min  ┠┈████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4051 | current_val_loss: 1.8464 | running_val_loss: 1.8945 | best_val_loss: 1.4893
┃           1  ┃      1.6058  │     21.95 %  ┃   1.000e-01  │   00:37 min  ┠┈████████▓┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3939 | current_val_loss: 1.7824 | running_val_loss: 1.8833 | best_val_loss: 1.4893
┃           1  ┃      1.6090  │     21.80 %  ┃   1.000e-01  │   00:41 min  ┠┈█████████░┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3816 | current_val_loss: 1.7604 | running_val_loss: 1.8710 | best_val_loss: 1.4893
┃           1  ┃      1.6362  │     20.00 %  ┃   1.000e-01  │   00:44 min  ┠┈██████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3462 | current_val_loss: 1.5162 | running_val_loss: 1.8355 | best_val_loss: 1.4893
